MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Price
37463400.0,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,203670000.0
37356299.99999999,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,37.86,-122.22,161325000.0
32658300.0,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,158445000.0
25393949.999999996,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,37.85,-122.25,153585000.0
17307900.0,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,-122.25,153990000.0
18165600.000000004,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,121365000.0
16465950.0,52.0,4.9319066147859925,0.9513618677042801,1094.0,2.1284046692607004,37.84,-122.25,134640000.0
14040000.0,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,108630000.00000001
9361800.0,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,102015000.0
16610400.0,52.0,4.970588235294118,0.9901960784313726,1551.0,2.172268907563025,37.84,-122.25,117495000.00000001
14413950.0,52.0,5.477611940298507,1.0796019900497513,910.0,2.263681592039801,37.85,-122.26,126675000.0
14717250.000000002,52.0,4.772479564032698,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,108810000.00000001
13837500.0,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,96074999.99999999
12031200.0,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,86085000.0
8625150.0,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26,71640000.0
9562500.0,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,63000000.0
12487500.0,52.0,5.9395770392749245,1.0483383685800605,793.0,2.395770392749245,37.85,-122.27,68625000.0
9540900.0,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,69975000.0
8959950.0,50.0,5.343675417661098,1.0859188544152745,990.0,2.3627684964200477,37.84,-122.26,71415000.0
11714850.0,52.0,5.465454545454546,1.0836363636363637,690.0,2.5090909090909093,37.84,-122.27,73305000.0
6110099.999999999,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,66375000.0
7710750.0,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,71910000.0
